loc_id : (32006,) | plant_code : 56407 | R2 : 0.7504 | date_att: 2018-11-06
loc_id : (30426,) | plant_code : 3161 | R2 : 0.9063 | date_att: 2018-11-06
loc_id : (59822,) | plant_code : 7270 | R2 : 0.7269 | date_att: 2018-11-06
loc_id : (125317,) | plant_code : 7294 | R2 : 0.5530 | date_att: 2018-11-06
loc_id : (443854,) | plant_code : 58503 | R2 : 0.9745 | date_att: 2018-11-06
loc_id : (26951,) | plant_code : 3236 | R2 : 0.9809 | date_att: 2018-11-06
loc_id : (404819,) | plant_code : 3250 | R2 : 0.7096 | date_att: 2018-11-06
loc_id : (84880,) | plant_code : 1206 | R2 : 0.8405 | date_att: 2018-11-06
loc_id : (404823,) | plant_code : 3254 | R2 : 1.0000 | date_att: 2018-11-06
loc_id : (86101,) | plant_code : 56502 | R2 : 0.9567 | date_att: 2018-11-06
loc_id : (30558,) | plant_code : 56505 | R2 : 0.6979 | date_att: 2018-11-06
loc_id : (28520,) | plant_code : 7350 | R2 : 0.9890 | date_att: 2018-11-06
loc_id : (21453,) | plant_code : 1217 | R2 : 0.6685 | date_att: 2018-11-06
loc_id : (125122,) | plant_code : 54466 | R2 : 0.9704 | date_att: 2018-11-06
loc_id : (86493,) | plant_code : 1233 | R2 : 0.9827 | date_att: 2018-11-06
loc_id : (86110,) | plant_code : 1240 | R2 : 0.9814 | date_att: 2018-11-06
loc_id : (86405,) | plant_code : 1242 | R2 : 0.9821 | date_att: 2018-11-06
loc_id : (80753,) | plant_code : 50398 | R2 : 0.7259 | date_att: 2018-11-06
loc_id : (80606,) | plant_code : 3295 | R2 : 0.9818 | date_att: 2018-11-06
loc_id : (86368,) | plant_code : 1250 | R2 : 0.8160 | date_att: 2018-11-06
loc_id : (23718,) | plant_code : 54538 | R2 : 0.9729 | date_att: 2018-11-06
loc_id : (434903,) | plant_code : 50449 | R2 : 0.9936 | date_att: 2018-11-06
loc_id : (68087,) | plant_code : 54547 | R2 : 0.9029 | date_att: 2018-11-06
loc_id : (86070,) | plant_code : 1308 | R2 : 1.0000 | date_att: 2018-11-06
loc_id : (428306,) | plant_code : 56610 | R2 : 0.9572 | date_att: 2018-11-06
loc_id : (445335,) | plant_code : 1353 | R2 : 0.8193 | date_att: 2018-11-06
loc_id : (83369,) | plant_code : 3403 | R2 : 0.9549 | date_att: 2018-11-06
loc_id : (427284,) | plant_code : 3405 | R2 : 0.9935 | date_att: 2018-11-06
loc_id : (62684,) | plant_code : 3406 | R2 : 0.8965 | date_att: 2018-11-06
loc_id : (445831,) | plant_code : 1378 | R2 : 0.9978 | date_att: 2018-11-06
loc_id : (83352,) | plant_code : 1396 | R2 : 0.9910 | date_att: 2018-11-06
loc_id : (86338,) | plant_code : 50558 | R2 : 0.5540 | date_att: 2018-11-06
loc_id : (30805,) | plant_code : 3460 | R2 : 0.7297 | date_att: 2018-11-06
loc_id : (23287,) | plant_code : 1417 | R2 : 0.8354 | date_att: 2018-11-06
loc_id : (22518,) | plant_code : 3477 | R2 : 0.8689 | date_att: 2018-11-06
loc_id : (423898,) | plant_code : 1443 | R2 : 1.0000 | date_att: 2018-11-06
loc_id : (30534,) | plant_code : 7604 | R2 : 0.8888 | date_att: 2018-11-06
loc_id : (29761,) | plant_code : 7605 | R2 : 0.9140 | date_att: 2018-11-06
loc_id : (147277,) | plant_code : 56786 | R2 : 0.9611 | date_att: 2018-11-06
loc_id : (86503,) | plant_code : 56798 | R2 : 0.9341 | date_att: 2018-11-06
loc_id : (419541,) | plant_code : 56799 | R2 : 0.8852 | date_att: 2018-11-06
loc_id : (410474,) | plant_code : 56807 | R2 : 0.7688 | date_att: 2018-11-06
loc_id : (28584,) | plant_code : 54761 | R2 : 0.9870 | date_att: 2018-11-06
loc_id : (445380,) | plant_code : 56846 | R2 : 0.9552 | date_att: 2018-11-06
loc_id : (26997,) | plant_code : 54805 | R2 : 0.9530 | date_att: 2018-11-06
