date_attr,plant_code,loc_id,R2,status
2018-11-15,55481,28672;432101;431312,0.8263,good
2018-11-15,55482,29876,0.9889,good
2018-11-15,2241,86756,0.7381,good
2018-11-15,201,146082,0.9978,good
2018-11-15,202,23316,0.9968,good
2018-11-15,203,23315,0.9977,good
2018-11-15,55501,450294;22550,0.8165,good
2018-11-15,55502,403982,0.8878,good
2018-11-15,55503,30634,0.9824,good
2018-11-15,55514,29016,0.9973,good
2018-11-15,55516,30644,0.9913,good
2018-11-15,55517,27014,0.8917,good
2018-11-15,55518,29093,0.9966,good
2018-11-15,2324,425771;29028,0.9180,good
2018-11-15,2336,85610;85623,0.9488,good
2018-11-15,55620,83241;404068;62805,0.9986,good
2018-11-15,55622,425787;29011,0.9401,good
2018-11-15,329,83971;29029,0.9994,good
2018-11-15,55640,59986,0.9369,good
2018-11-15,55641,60027,0.9827,good
2018-11-15,55661,32025;29150,0.9874,good
2018-11-15,55662,29896;29897,0.9972,good
2018-11-15,55664,24771;84910,0.9958,good
2018-11-15,59764,446731,0.9909,good
2018-11-15,55672,80734,0.9937,good
2018-11-15,59773,447952,0.9651,good
2018-11-15,10627,23294,0.9276,good
2018-11-15,55687,29018;425724,0.6732,good
2018-11-15,10633,83507,0.9949,good
2018-11-15,55694,30546;423724,0.9711,good
2018-11-15,55701,410492,0.9951,good
2018-11-15,10649,83968;29077;428998,0.5312,good
2018-11-15,55706,30638,0.9858,good
2018-11-15,55710,28013,0.9831,good
2018-11-15,6558,413848,0.7697,good
2018-11-15,55714,23465,0.9989,good
2018-11-15,10671,23318,0.9663,good
2018-11-15,55736,30646,0.8661,good
2018-11-15,57794,449262,0.9631,good
2018-11-15,2516,82472,0.9993,good
2018-11-15,2527,446691,0.9948,good
2018-11-15,10725,62534,0.9911,good
2018-11-15,10726,62546,0.9561,good
2018-11-15,2539,435624;62771,0.9922,good
2018-11-15,6635,405312,0.9708,good
2018-11-15,57839,443804,0.9995,good
2018-11-15,57842,82349,0.8766,good
2018-11-15,55801,23950,0.9701,good
2018-11-15,55802,85847,0.6962,good
2018-11-15,10755,31149,0.9012,good
2018-11-15,55818,29884,0.9977,good
2018-11-15,533,125142,0.9858,good
2018-11-15,10777,85614,0.7605,good
2018-11-15,55841,29021;425782,0.8958,good
2018-11-15,562,425384;27005,0.9824,good
2018-11-15,564,125417;428557;145638,0.6476,good
2018-11-15,2625,83731;130703,0.9099,good
2018-11-15,612,125230,0.8192,good
2018-11-15,613,125451;125452,0.9148,good
2018-11-15,620,125247,0.8380,good
2018-11-15,621,125284;125439,0.9387,good
2018-11-15,55927,404860,0.9986,good
2018-11-15,634,125179;31975,0.9918,good
2018-11-15,641,24255,0.9614,good
2018-11-15,55939,441496,0.9942,good
2018-11-15,643,125342,0.9986,good
2018-11-15,58005,434545,0.9832,good
2018-11-15,665,125153;125285,0.7223,good
2018-11-15,55965,428621,0.9995,good
2018-11-15,55972,21433,0.8066,good
2018-11-15,676,125489;31994,0.9694,good
2018-11-15,683,125263,0.5947,good
2018-11-15,710,421785,0.9643,good
2018-11-15,60122,445825,0.9830,good
2018-11-15,56031,60037,0.9966,good
2018-11-15,58079,440626,0.9897,good
2018-11-15,54041,62541,0.9759,good
2018-11-15,56102,31260,0.9982,good
2018-11-15,56104,21475,0.9513,good
2018-11-15,52019,28005,0.9797,good
2018-11-15,52026,26957,0.9607,good
2018-11-15,54076,68029,0.9934,good
2018-11-15,2880,84225,0.8148,good
2018-11-15,4939,406682,0.5049,good
2018-11-15,50002,62543,0.9729,good
2018-11-15,54104,23306,0.9062,good
2018-11-15,56164,21470,0.7671,good
2018-11-15,7013,23381,0.9783,good
2018-11-15,56166,60053,0.5677,good
2018-11-15,56177,31253,0.9943,good
2018-11-15,52087,83506,0.8673,good
2018-11-15,7032,83545,0.8557,good
2018-11-15,52089,83589,0.9441,good
2018-11-15,887,84474;84371;84475,0.9970,good
2018-11-15,58236,443794,0.9470,good
2018-11-15,913,29208,0.7986,good
2018-11-15,58260,444331,0.9934,good
2018-11-15,56227,29529,0.8073,good
2018-11-15,52151,446220,0.8157,good
2018-11-15,50109,85552,0.9852,good
2018-11-15,56259,406678,0.9766,good
2018-11-15,976,84513,0.9985,good
2018-11-15,991,447946;450372,1.0000,good
2018-11-15,1001,84109,0.9341,good
2018-11-15,1007,84242,0.9954,good
2018-11-15,7158,30593;404177,0.6945,good
2018-11-15,7159,59307,0.6668,good
2018-11-15,56328,23430,0.9388,good
2018-11-15,3096,403669,0.9827,good
2018-11-15,56350,24907,0.8103,good
2018-11-15,54324,62513,0.7841,good
2018-11-15,58420,442931,0.8831,good
2018-11-15,58426,445513,0.8426,good
2018-11-15,3131,445956,0.9927,good
2018-11-15,3138,445202,0.9886,good
2018-11-15,50243,29147,0.9994,good
2018-11-15,3140,445907,0.9983,good
2018-11-15,7237,21285,0.8404,good
2018-11-15,7238,31978;125131,0.9600,good
2018-11-15,7242,146290,0.7893,good
2018-11-15,56400,125437,0.9724,good
2018-11-15,56407,32006,0.8486,good
2018-11-15,3161,30426,0.9977,good
2018-11-15,7270,59822,0.7756,good
2018-11-15,7294,125317,0.6399,good
2018-11-15,7296,86330;86331,0.7142,good
2018-11-15,58503,443854,0.9864,good
2018-11-15,3236,26951,0.9926,good
2018-11-15,56497,86100,0.6036,good
2018-11-15,3250,404819,0.7906,good
2018-11-15,56500,85622,0.5988,good
2018-11-15,1206,84880,0.9844,good
2018-11-15,56502,86101,0.9605,good
2018-11-15,56505,30558,0.7651,good
2018-11-15,7350,28520,0.9960,good
2018-11-15,1217,21453,0.7204,good
2018-11-15,54466,125122,0.9941,good
2018-11-15,1230,426330,0.9273,good
2018-11-15,1233,86493,0.9828,good
2018-11-15,7380,31995;125246,0.9927,good
2018-11-15,1240,86110,0.9866,good
2018-11-15,1242,86405,0.9821,good
2018-11-15,50398,80753,0.9842,good
2018-11-15,3295,80606,0.9931,good
2018-11-15,1250,86368,0.8227,good
2018-11-15,54538,23718,0.9744,good
2018-11-15,50449,434903,0.9964,good
2018-11-15,54547,68087,0.9172,good
2018-11-15,56610,428306,0.9939,good
2018-11-15,50481,441916,0.6603,good
