insight_date,location_id,plant_code,insight_noms
2017-02-01,23294,10627,314921.0
2017-03-01,23294,10627,134396.0
2017-04-01,23294,10627,233142.0
2017-05-01,23294,10627,173200.0
2017-06-01,23294,10627,149500.0
2017-07-01,23294,10627,156000.0
2017-08-01,23294,10627,143500.0
2017-09-01,23294,10627,163250.0
2017-10-01,23294,10627,185000.0
2017-11-01,23294,10627,199493.0
2017-12-01,23294,10627,184000.0
2018-01-01,23294,10627,229001.0
2018-02-01,23294,10627,149074.0
2018-03-01,23294,10627,141500.0
2018-04-01,23294,10627,195336.0
2018-05-01,23294,10627,228500.0
2014-01-01,83507,10633,875757.0
2014-02-01,83507,10633,1239633.0
2014-03-01,83507,10633,578717.0
2014-04-01,83507,10633,636561.0
2014-05-01,83507,10633,745238.0
2014-06-01,83507,10633,777293.0
2014-07-01,83507,10633,771276.0
2014-08-01,83507,10633,778387.0
2014-09-01,83507,10633,761124.0
2014-10-01,83507,10633,504904.0
2014-11-01,83507,10633,764490.0
2014-12-01,83507,10633,752226.0
2015-01-01,83507,10633,1175161.0
2015-02-01,83507,10633,939270.0
2015-03-01,83507,10633,1326869.0
2015-04-01,83507,10633,635887.0
2015-05-01,83507,10633,1198390.0
2015-06-01,83507,10633,810476.0
2015-07-01,83507,10633,1036725.0
2015-08-01,83507,10633,1073763.0
2015-09-01,83507,10633,1201546.0
2015-10-01,83507,10633,807513.0
2015-11-01,83507,10633,1807801.0
2015-12-01,83507,10633,1106431.0
2016-01-01,83507,10633,190809.0
2016-02-01,83507,10633,144774.0
2016-03-01,83507,10633,303859.0
2016-04-01,83507,10633,911328.0
2016-05-01,83507,10633,1665903.0
2016-06-01,83507,10633,1729209.0
2016-07-01,83507,10633,1805721.0
2016-08-01,83507,10633,1737883.0
2016-09-01,83507,10633,1542329.0
2016-10-01,83507,10633,1248598.0
2016-11-01,83507,10633,79213.0
2016-12-01,83507,10633,98946.0
2017-01-01,83507,10633,101864.0
2017-02-01,83507,10633,426612.0
2017-03-01,83507,10633,1206463.0
2017-04-01,83507,10633,1780160.0
2017-05-01,83507,10633,1150028.0
2017-06-01,83507,10633,1338251.0
2017-07-01,83507,10633,1680632.0
2017-08-01,83507,10633,1293004.0
2017-09-01,83507,10633,867716.0
2017-10-01,83507,10633,79887.0
2017-11-01,83507,10633,103842.0
2017-12-01,83507,10633,155490.0
2018-01-01,83507,10633,109125.0
2018-02-01,83507,10633,95028.0
2018-03-01,83507,10633,104676.0
2018-04-01,83507,10633,1950937.0
2018-05-01,83507,10633,1998947.0
2014-01-01,29077,10649,312387.0
2014-02-01,29077,10649,27625.0
2014-03-01,29077,10649,272836.0
2014-04-01,29077,10649,305590.0
2014-05-01,29077,10649,248368.0
2014-06-01,29077,10649,285749.0
2014-07-01,29077,10649,289664.0
2014-08-01,29077,10649,314326.0
2014-09-01,29077,10649,132241.0
2014-10-01,29077,10649,230606.0
2014-11-01,29077,10649,315867.0
2014-12-01,29077,10649,319476.0
2015-01-01,29077,10649,297331.0
2015-02-01,29077,10649,271445.0
2015-03-01,29077,10649,296608.0
2015-04-01,29077,10649,224812.0
2015-05-01,29077,10649,2498.0
2015-06-01,29077,10649,57560.0
2015-07-01,29077,10649,38900.0
2015-08-01,29077,10649,30717.0
2015-09-01,29077,10649,42000.0
2015-10-01,29077,10649,19942.0
2015-11-01,29077,10649,0.0
2015-12-01,29077,10649,4000.0
2016-01-01,29077,10649,0.0
2016-02-01,29077,10649,0.0
2016-03-01,29077,10649,0.0
2016-04-01,29077,10649,7900.0
2016-05-01,29077,10649,0.0
2016-06-01,29077,10649,12982.0
2016-07-01,29077,10649,28200.0
2016-08-01,29077,10649,16000.0
2016-09-01,29077,10649,5500.0
2016-10-01,29077,10649,0.0
2016-11-01,29077,10649,0.0
2016-12-01,29077,10649,2000.0
2017-01-01,29077,10649,0.0
2017-02-01,29077,10649,0.0
2017-03-01,29077,10649,0.0
2017-04-01,29077,10649,6600.0
2017-05-01,29077,10649,16725.0
2017-06-01,29077,10649,30800.0
2017-07-01,29077,10649,47500.0
2017-08-01,29077,10649,71431.0
2017-09-01,29077,10649,42600.0
2017-10-01,29077,10649,85649.0
2017-11-01,29077,10649,12875.0
2017-12-01,29077,10649,2200.0
2018-01-01,29077,10649,0.0
2018-02-01,29077,10649,8800.0
2018-03-01,29077,10649,47700.0
2018-04-01,29077,10649,10499.0
2018-05-01,29077,10649,0.0
2014-01-01,83968,10649,0.0
2014-02-01,83968,10649,0.0
2014-03-01,83968,10649,0.0
2014-04-01,83968,10649,0.0
2014-05-01,83968,10649,0.0
2014-06-01,83968,10649,0.0
2014-07-01,83968,10649,0.0
2014-08-01,83968,10649,0.0
2014-09-01,83968,10649,0.0
2014-10-01,83968,10649,0.0
2014-11-01,83968,10649,0.0
2014-12-01,83968,10649,0.0
2015-01-01,83968,10649,0.0
2015-02-01,83968,10649,0.0
2015-03-01,83968,10649,0.0
2015-04-01,83968,10649,0.0
2015-05-01,83968,10649,0.0
2015-06-01,83968,10649,0.0
2015-07-01,83968,10649,0.0
2015-08-01,83968,10649,0.0
2015-09-01,83968,10649,0.0
2015-10-01,83968,10649,0.0
2015-11-01,83968,10649,0.0
2015-12-01,83968,10649,0.0
2016-01-01,83968,10649,0.0
2016-02-01,83968,10649,0.0
2016-03-01,83968,10649,0.0
2016-04-01,83968,10649,0.0
2016-05-01,83968,10649,0.0
2016-06-01,83968,10649,0.0
2016-07-01,83968,10649,0.0
2016-08-01,83968,10649,0.0
2016-09-01,83968,10649,0.0
2016-10-01,83968,10649,0.0
2016-11-01,83968,10649,0.0
2016-12-01,83968,10649,0.0
2017-01-01,83968,10649,0.0
2017-02-01,83968,10649,0.0
2017-03-01,83968,10649,0.0
2017-04-01,83968,10649,0.0
2017-05-01,83968,10649,0.0
2017-06-01,83968,10649,0.0
2017-07-01,83968,10649,0.0
2017-08-01,83968,10649,0.0
2017-09-01,83968,10649,0.0
2017-10-01,83968,10649,85649.0
2017-11-01,83968,10649,12875.0
2017-12-01,83968,10649,2200.0
2018-01-01,83968,10649,0.0
2018-02-01,83968,10649,8800.0
2018-03-01,83968,10649,48200.0
2018-04-01,83968,10649,10499.0
2018-05-01,83968,10649,0.0
2014-01-01,428998,10649,0.0
2014-02-01,428998,10649,0.0
2014-03-01,428998,10649,0.0
2014-04-01,428998,10649,0.0
2014-05-01,428998,10649,0.0
2014-06-01,428998,10649,0.0
2014-07-01,428998,10649,0.0
2014-08-01,428998,10649,0.0
2014-09-01,428998,10649,0.0
2014-10-01,428998,10649,0.0
2014-11-01,428998,10649,0.0
2014-12-01,428998,10649,0.0
2015-01-01,428998,10649,0.0
2015-02-01,428998,10649,0.0
2015-03-01,428998,10649,0.0
2015-04-01,428998,10649,0.0
2015-05-01,428998,10649,0.0
2015-06-01,428998,10649,0.0
2015-07-01,428998,10649,0.0
2015-08-01,428998,10649,0.0
2015-09-01,428998,10649,0.0
2015-10-01,428998,10649,0.0
2015-11-01,428998,10649,0.0
2015-12-01,428998,10649,0.0
2016-01-01,428998,10649,0.0
2016-02-01,428998,10649,0.0
2016-03-01,428998,10649,0.0
2016-04-01,428998,10649,0.0
2016-05-01,428998,10649,0.0
2016-06-01,428998,10649,0.0
2016-07-01,428998,10649,0.0
2016-08-01,428998,10649,0.0
2016-09-01,428998,10649,0.0
2016-10-01,428998,10649,0.0
2016-11-01,428998,10649,0.0
2016-12-01,428998,10649,0.0
2017-01-01,428998,10649,0.0
2017-02-01,428998,10649,0.0
2017-03-01,428998,10649,0.0
2017-04-01,428998,10649,0.0
2017-05-01,428998,10649,0.0
2017-06-01,428998,10649,0.0
2017-07-01,428998,10649,0.0
2017-08-01,428998,10649,0.0
2017-09-01,428998,10649,0.0
2014-01-01,23318,10671,1054.0
2014-02-01,23318,10671,505.0
2014-03-01,23318,10671,5870.0
2014-04-01,23318,10671,9146.0
2014-05-01,23318,10671,130.0
2014-06-01,23318,10671,30.0
2014-07-01,23318,10671,3470.0
2014-08-01,23318,10671,0.0
2014-09-01,23318,10671,1257.0
2014-10-01,23318,10671,4909.0
2014-11-01,23318,10671,1625.0
2014-12-01,23318,10671,3855.0
2015-01-01,23318,10671,0.0
2015-02-01,23318,10671,250.0
2015-03-01,23318,10671,872.0
2015-04-01,23318,10671,5966.0
2015-05-01,23318,10671,8634.0
2015-06-01,23318,10671,2653.0
2015-07-01,23318,10671,3543.0
2015-08-01,23318,10671,0.0
2015-09-01,23318,10671,0.0
2015-10-01,23318,10671,0.0
2015-11-01,23318,10671,0.0
2015-12-01,23318,10671,14527.0
2016-01-01,23318,10671,0.0
2016-02-01,23318,10671,2400.0
2016-03-01,23318,10671,72889.0
2016-04-01,23318,10671,104890.0
2016-05-01,23318,10671,6401.0
2016-06-01,23318,10671,7894.0
2016-07-01,23318,10671,2200.0
2016-08-01,23318,10671,0.0
2016-09-01,23318,10671,4.0
2016-10-01,23318,10671,501.0
2016-11-01,23318,10671,30.0
2016-12-01,23318,10671,31.0
2017-01-01,23318,10671,1400.0
2017-02-01,23318,10671,1202.0
2017-03-01,23318,10671,2531.0
2017-04-01,23318,10671,30.0
2017-05-01,23318,10671,3928.0
2017-06-01,23318,10671,528.0
2017-07-01,23318,10671,9686.0
2017-08-01,23318,10671,2019.0
2017-09-01,23318,10671,30.0
2017-10-01,23318,10671,6917.0
2017-11-01,23318,10671,4209.0
2017-12-01,23318,10671,5311.0
2018-01-01,23318,10671,6544.0
2018-02-01,23318,10671,1127.0
2018-03-01,23318,10671,1379.0
2018-04-01,23318,10671,7154.0
2018-05-01,23318,10671,5028.0
2014-01-01,62534,10725,1732633.0
2014-02-01,62534,10725,1898189.0
2014-03-01,62534,10725,1870094.0
2014-04-01,62534,10725,1232383.0
2014-05-01,62534,10725,1111047.0
2014-06-01,62534,10725,1206171.0
2014-07-01,62534,10725,1264362.0
2014-08-01,62534,10725,679668.0
2014-09-01,62534,10725,763638.0
2014-10-01,62534,10725,226850.0
2014-11-01,62534,10725,389767.0
2014-12-01,62534,10725,291822.0
2015-01-01,62534,10725,370031.0
2015-02-01,62534,10725,310543.0
2015-03-01,62534,10725,1812652.0
2015-04-01,62534,10725,226200.0
2015-05-01,62534,10725,1279886.0
2015-06-01,62534,10725,1058874.0
2015-07-01,62534,10725,1356109.0
2015-08-01,62534,10725,1586882.0
2015-09-01,62534,10725,867458.0
2015-10-01,62534,10725,175511.0
2015-11-01,62534,10725,1696629.0
2015-12-01,62534,10725,709394.0
2016-01-01,62534,10725,432013.0
2016-02-01,62534,10725,289722.0
2016-03-01,62534,10725,698252.0
2016-04-01,62534,10725,423350.0
2016-05-01,62534,10725,530364.0
2016-06-01,62534,10725,510598.0
2016-07-01,62534,10725,1117354.0
2016-08-01,62534,10725,1139002.0
2016-09-01,62534,10725,757333.0
2016-10-01,62534,10725,234463.0
2016-11-01,62534,10725,267986.0
2016-12-01,62534,10725,1024642.0
2017-01-01,62534,10725,304351.0
2017-02-01,62534,10725,229866.0
2017-03-01,62534,10725,435782.0
2017-04-01,62534,10725,190137.0
2017-05-01,62534,10725,394619.0
2017-06-01,62534,10725,452730.0
2017-07-01,62534,10725,664242.0
2017-08-01,62534,10725,505065.0
2017-09-01,62534,10725,650367.0
2017-10-01,62534,10725,194760.0
2017-11-01,62534,10725,258637.0
2017-12-01,62534,10725,220729.0
2018-01-01,62534,10725,257475.0
2018-02-01,62534,10725,230705.0
2018-03-01,62534,10725,389704.0
2018-04-01,62534,10725,348332.0
2018-05-01,62534,10725,940051.0
2014-01-01,62546,10726,94716.0
2014-02-01,62546,10726,3300.0
2014-03-01,62546,10726,22600.0
2014-04-01,62546,10726,468878.0
2014-05-01,62546,10726,938145.0
2014-06-01,62546,10726,791847.0
2014-07-01,62546,10726,1544137.0
2014-08-01,62546,10726,1235014.0
2014-09-01,62546,10726,909603.0
2014-10-01,62546,10726,1169249.0
2014-11-01,62546,10726,413871.0
2014-12-01,62546,10726,114679.0
2015-01-01,62546,10726,12318.0
2015-02-01,62546,10726,97919.0
2015-03-01,62546,10726,3000.0
2015-04-01,62546,10726,420477.0
2015-05-01,62546,10726,1074514.0
2015-06-01,62546,10726,1150432.0
2015-07-01,62546,10726,1371758.0
2015-08-01,62546,10726,1760898.0
2015-09-01,62546,10726,1200945.0
2015-10-01,62546,10726,1185177.0
2015-11-01,62546,10726,310880.0
2015-12-01,62546,10726,578032.0
2016-01-01,62546,10726,0.0
2016-02-01,62546,10726,74187.0
2016-03-01,62546,10726,509683.0
2016-04-01,62546,10726,845566.0
2016-05-01,62546,10726,529925.0
2016-06-01,62546,10726,543137.0
2016-07-01,62546,10726,1041200.0
2016-08-01,62546,10726,1321732.0
2016-09-01,62546,10726,800386.0
2016-10-01,62546,10726,512843.0
2016-11-01,62546,10726,207120.0
2016-12-01,62546,10726,63498.0
2017-01-01,62546,10726,0.0
2017-02-01,62546,10726,0.0
2017-03-01,62546,10726,122400.0
2017-04-01,62546,10726,525388.0
2017-05-01,62546,10726,721930.0
2017-06-01,62546,10726,791788.0
2017-07-01,62546,10726,1075346.0
2017-08-01,62546,10726,810001.0
2017-09-01,62546,10726,761631.0
2017-10-01,62546,10726,856722.0
2017-11-01,62546,10726,234077.0
2017-12-01,62546,10726,26234.0
2018-01-01,62546,10726,0.0
2018-02-01,62546,10726,65250.0
2018-03-01,62546,10726,359285.0
2018-04-01,62546,10726,190947.0
2018-05-01,62546,10726,232849.0
2014-01-01,84035,10745,604000.0
2014-02-01,84035,10745,224000.0
2014-03-01,84035,10745,314662.0
2014-04-01,84035,10745,50000.0
2014-05-01,84035,10745,84319.0
2014-06-01,84035,10745,497722.0
2014-07-01,84035,10745,30000.0
2014-08-01,84035,10745,0.0
2014-09-01,84035,10745,120000.0
2014-10-01,84035,10745,40000.0
2014-11-01,84035,10745,10000.0
2014-12-01,84035,10745,26137.0
2015-01-01,84035,10745,218000.0
2015-02-01,84035,10745,355000.0
2015-03-01,84035,10745,20000.0
2015-04-01,84035,10745,10000.0
2015-05-01,84035,10745,1030000.0
2015-06-01,84035,10745,1055000.0
2015-07-01,84035,10745,1464833.0
2015-08-01,84035,10745,1142000.0
2015-09-01,84035,10745,890000.0
2015-10-01,84035,10745,1140000.0
2015-11-01,84035,10745,785000.0
2015-12-01,84035,10745,170000.0
2016-01-01,84035,10745,125000.0
2016-02-01,84035,10745,291244.0
2016-03-01,84035,10745,341473.0
2016-04-01,84035,10745,1875000.0
2016-05-01,84035,10745,1935000.0
2016-06-01,84035,10745,1630000.0
2016-07-01,84035,10745,1670000.0
2016-08-01,84035,10745,1759926.0
2016-09-01,84035,10745,490000.0
2016-10-01,84035,10745,600000.0
2016-11-01,84035,10745,685000.0
2016-12-01,84035,10745,180000.0
2017-01-01,84035,10745,150000.0
2017-02-01,84035,10745,0.0
2017-03-01,84035,10745,550000.0
2017-04-01,84035,10745,60000.0
2017-05-01,84035,10745,1338585.0
2017-06-01,84035,10745,1905000.0
2017-07-01,84035,10745,2384910.0
2017-08-01,84035,10745,1620000.0
2017-09-01,84035,10745,890000.0
2017-10-01,84035,10745,1265000.0
