loc_id : 27735 | plant_code : 50707 | R2 : 0.1072 | date_att: 2018-11-08
loc_id : 125115;31990 | plant_code : 7699 | R2 : 0.3502 | date_att: 2018-11-08
loc_id : 23944 | plant_code : 7709 | R2 : 0.2835 | date_att: 2018-11-08
loc_id : 80645;80639 | plant_code : 7710 | R2 : 0.0268 | date_att: 2018-11-08
loc_id : 30543 | plant_code : 7749 | R2 : 0.4097 | date_att: 2018-11-08
loc_id : 59942 | plant_code : 7763 | R2 : 0.3023 | date_att: 2018-11-08
loc_id : 80851 | plant_code : 7768 | R2 : 0.3510 | date_att: 2018-11-08
loc_id : 130993 | plant_code : 7783 | R2 : 0.1259 | date_att: 2018-11-08
loc_id : 421560 | plant_code : 56948 | R2 : 0.0143 | date_att: 2018-11-08
loc_id : 27024;26939 | plant_code : 1660 | R2 : 0.0038 | date_att: 2018-11-08
loc_id : 446337;445901 | plant_code : 59004 | R2 : 0.0416 | date_att: 2018-11-08
loc_id : 436002;435861 | plant_code : 56963 | R2 : 0.1354 | date_att: 2018-11-08
loc_id : 84212 | plant_code : 7818 | R2 : 0.2442 | date_att: 2018-11-08
loc_id : 84976;84862 | plant_code : 7825 | R2 : 0.0159 | date_att: 2018-11-08
loc_id : 131273;23940 | plant_code : 7837 | R2 : 0.2245 | date_att: 2018-11-08
loc_id : 84846 | plant_code : 7842 | R2 : 0.1754 | date_att: 2018-11-08
loc_id : 404155;84693 | plant_code : 7845 | R2 : 0.3892 | date_att: 2018-11-08
loc_id : 80760 | plant_code : 7846 | R2 : 0.1118 | date_att: 2018-11-08
loc_id : 82237 | plant_code : 7863 | R2 : 0.1943 | date_att: 2018-11-08
loc_id : 31996;125415 | plant_code : 7873 | R2 : 0.1244 | date_att: 2018-11-08
loc_id : 83508 | plant_code : 3797 | R2 : 0.1485 | date_att: 2018-11-08
loc_id : 24568 | plant_code : 7902 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 427981;427983 | plant_code : 57075 | R2 : 0.0706 | date_att: 2018-11-08
loc_id : 56125 | plant_code : 55031 | R2 : 0.2453 | date_att: 2018-11-08
loc_id : 84247 | plant_code : 7928 | R2 : 0.3794 | date_att: 2018-11-08
loc_id : 29883;29885 | plant_code : 3845 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 125485;31998 | plant_code : 50949 | R2 : 0.2588 | date_att: 2018-11-08
loc_id : 27011 | plant_code : 55048 | R2 : 0.1349 | date_att: 2018-11-08
loc_id : 29874 | plant_code : 7953 | R2 : 0.4704 | date_att: 2018-11-08
loc_id : 62679;84476;59935 | plant_code : 55063 | R2 : 0.0484 | date_att: 2018-11-08
loc_id : 28613 | plant_code : 55064 | R2 : 0.0449 | date_att: 2018-11-08
loc_id : 432121 | plant_code : 50969 | R2 : 0.0046 | date_att: 2018-11-08
loc_id : 21393;21506;28605 | plant_code : 55065 | R2 : 0.0834 | date_att: 2018-11-08
loc_id : 28670 | plant_code : 7967 | R2 : 0.0060 | date_att: 2018-11-08
loc_id : 28678 | plant_code : 7975 | R2 : 0.1151 | date_att: 2018-11-08
loc_id : 431435 | plant_code : 7984 | R2 : 0.3991 | date_att: 2018-11-08
loc_id : 24681 | plant_code : 55099 | R2 : 0.3744 | date_att: 2018-11-08
loc_id : 86530;21461 | plant_code : 8000 | R2 : 0.3026 | date_att: 2018-11-08
loc_id : 56126;29143 | plant_code : 8002 | R2 : 0.4662 | date_att: 2018-11-08
loc_id : 23344 | plant_code : 8015 | R2 : 0.0564 | date_att: 2018-11-08
loc_id : 83852 | plant_code : 55123 | R2 : 0.0192 | date_att: 2018-11-08
loc_id : 85799;28647 | plant_code : 55124 | R2 : 0.3947 | date_att: 2018-11-08
loc_id : 26961 | plant_code : 51030 | R2 : 0.2217 | date_att: 2018-11-08
loc_id : 85841 | plant_code : 55129 | R2 : 0.1607 | date_att: 2018-11-08
loc_id : 59944;84898;84902 | plant_code : 55131 | R2 : 0.0636 | date_att: 2018-11-08
loc_id : 428750 | plant_code : 55135 | R2 : 0.2126 | date_att: 2018-11-08
loc_id : 404178 | plant_code : 55148 | R2 : 0.0013 | date_att: 2018-11-08
loc_id : 80669 | plant_code : 6002 | R2 : 0.0070 | date_att: 2018-11-08
loc_id : 31989 | plant_code : 8049 | R2 : 0.3836 | date_att: 2018-11-08
loc_id : 403897;62518 | plant_code : 8054 | R2 : 0.4186 | date_att: 2018-11-08
loc_id : 24477 | plant_code : 8056 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 403821 | plant_code : 55164 | R2 : 0.0101 | date_att: 2018-11-08
loc_id : 82522;30347;24710 | plant_code : 55165 | R2 : 0.0622 | date_att: 2018-11-08
loc_id : 432192;125375;431771;59991 | plant_code : 55173 | R2 : 0.0907 | date_att: 2018-11-08
loc_id : 24750 | plant_code : 55176 | R2 : 0.4459 | date_att: 2018-11-08
loc_id : 28648;85801 | plant_code : 55177 | R2 : 0.4024 | date_att: 2018-11-08
loc_id : 84235;86174 | plant_code : 55178 | R2 : 0.2670 | date_att: 2018-11-08
loc_id : 83993;29083;145807 | plant_code : 55182 | R2 : 0.1063 | date_att: 2018-11-08
loc_id : 68132 | plant_code : 55188 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 31992;418930;31999 | plant_code : 6042 | R2 : 0.0880 | date_att: 2018-11-08
loc_id : 424474;125235;447810;31991 | plant_code : 6043 | R2 : 0.1053 | date_att: 2018-11-08
loc_id : 408098 | plant_code : 55201 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 84968;84838 | plant_code : 55202 | R2 : 0.0331 | date_att: 2018-11-08
loc_id : 84832 | plant_code : 55204 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 28673 | plant_code : 55210 | R2 : 0.0350 | date_att: 2018-11-08
loc_id : 82233;82235 | plant_code : 4014 | R2 : 0.1928 | date_att: 2018-11-08
loc_id : 86066 | plant_code : 6064 | R2 : 0.3915 | date_att: 2018-11-08
loc_id : 426537;30575 | plant_code : 55220 | R2 : 0.1004 | date_att: 2018-11-08
loc_id : 84844 | plant_code : 55221 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 30922;24690 | plant_code : 6073 | R2 : 0.0235 | date_att: 2018-11-08
loc_id : 84970;84860 | plant_code : 55230 | R2 : 0.0013 | date_att: 2018-11-08
loc_id : 68027 | plant_code : 55233 | R2 : 0.2732 | date_att: 2018-11-08
loc_id : 449612 | plant_code : 59325 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 450370;450687 | plant_code : 59326 | R2 : 0.0708 | date_att: 2018-11-08
loc_id : 444742 | plant_code : 4042 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 28021;83615 | plant_code : 55247 | R2 : 0.2538 | date_att: 2018-11-08
loc_id : 60013;144310 | plant_code : 55253 | R2 : 0.3771 | date_att: 2018-11-08
loc_id : 130992 | plant_code : 55263 | R2 : 0.1316 | date_att: 2018-11-08
loc_id : 59947 | plant_code : 55264 | R2 : 0.0102 | date_att: 2018-11-08
loc_id : 403884;403853 | plant_code : 55269 | R2 : 0.0921 | date_att: 2018-11-08
loc_id : 80746;432010 | plant_code : 6124 | R2 : 0.0001 | date_att: 2018-11-08
loc_id : 59281 | plant_code : 4078 | R2 : 0.0000 | date_att: 2018-11-08
loc_id : 28644 | plant_code : 55282 | R2 : 0.0343 | date_att: 2018-11-08
loc_id : 432141;125319 | plant_code : 55286 | R2 : 0.2805 | date_att: 2018-11-08
loc_id : 32024;29149 | plant_code : 55294 | R2 : 0.2127 | date_att: 2018-11-08
